Country Code,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
162,73,170,1.3722685553752458,-1.0255809650479475,920,-0.00615438438750725,0,1,0,0,0,1.3198031202353258,1.4071308998222534,0,1,0.36520163852622367
162,73,593,1.371944570409113,-1.0266470700212045,1111,4.895906496148146e-05,0,1,0,0,0,1.3198031202353258,1.2092806293256615,0,1,1.009168099662929
162,75,307,1.3729750808753065,-1.0241309350966774,1671,0.17374257573408597,0,1,0,0,0,2.4240904265312166,1.143330539160131,1,5,0.26291093711822716
162,75,862,1.3729664952978209,-1.0237753547928574,1126,0.018658989422367676,0,0,0,0,0,2.4240904265312166,1.4730809899877844,0,1,0.4837658606127651
162,75,862,1.3729914079426038,-1.0238542111300357,1122,0.018658989422367676,0,1,0,0,0,2.4240904265312166,1.4071308998222534,0,1,0.1675946017153213
162,75,862,1.3729626124945198,-1.0239165330739346,497,-0.012357727839975982,0,0,0,0,0,1.3198031202353258,1.143330539160131,1,5,0.41634698923022195
162,94,863,1.3711141256034487,-1.0286797710831543,134,0.04967570668471133,0,1,0,0,0,2.4240904265312166,0.8795301784980079,1,5,0.8441081042091166
162,94,863,1.3711060850654326,-1.027892418719407,1681,0.04967570668471133,0,1,0,0,0,2.4240904265312166,1.0114303588290694,1,5,1.2090999251421952
162,94,1001,1.371124334240948,-1.0267122991111746,796,0.2978094447834606,0,1,0,0,0,2.4240904265312166,1.4730809899877844,0,1,1.078911759713836
162,95,517,1.3729678699548902,-1.024981547867415,892,-0.00615438438750725,0,1,0,0,0,1.3198031202353258,1.4071308998222534,0,1,0.8720055682294793
162,95,517,1.3730012475932056,-1.0253769197330829,894,-0.024764414744913445,0,0,0,0,0,1.3198031202353258,1.4730809899877844,0,1,2.1227418718090734
162,95,517,1.37307128275337,-1.0250898390585628,66,-0.018561071292444713,0,1,0,0,0,1.3198031202353258,1.0114303588290694,1,5,0.7697148668214827
162,107,1111,1.3734233637806563,-1.0179442557124572,894,-0.024764414744913445,0,0,0,0,0,1.3198031202353258,1.4071308998222534,0,1,0.31870586515895255
162,112,9,1.3724146235414192,-1.023036576297542,892,-0.012357727839975982,0,1,0,0,0,1.3198031202353258,1.0114303588290694,1,5,0.699971206770576
162,112,592,1.372523590436795,-1.022542361465457,1161,-0.030967758197382175,0,0,0,0,0,1.3198031202353258,1.0773804489946,1,5,0.15364586970513996
162,114,726,1.372980121284561,-1.0554120085182184,338,-0.024764414744913445,0,0,0,0,0,1.3198031202353258,0.6157298178358851,5,2,-0.2973631319573902
162,114,1003,1.3729692060250944,-1.055357774799779,1098,-0.021662743018679077,0,0,0,0,0,1.3198031202353258,0.8795301784980079,1,5,-0.19739721921775724
162,122,1039,1.370436981589486,-1.0676990613876736,892,4.895906496148146e-05,0,1,0,0,0,1.3198031202353258,1.2092806293256615,0,1,0.12574840568477727
162,123,83,1.3727109296668765,-1.0265878369200059,452,-0.03717110164985091,0,0,0,0,0,0.2155158139394348,1.2092806293256615,0,1,-0.09045694047303358
